id,region_id,name_ar,name_en,name_search,is_governorate,is_capital,is_active,duplicate_of
1,1,الرياض,Riyadh,الرياض,True,True,True,
159,1,الدرعية,Ad Diriyah,الدرعيه,True,False,True,
160,1,الدوادمي,Ad Duwadimi,الدوادمي,True,False,True,
161,1,القويعية,Al Quwayi'Yah,القويعيه,True,False,True,
162,1,ثادق,Thadiq,ثادق,True,False,True,
163,1,المجمعة,Al Majma'Ah,المجمعه,True,False,True,
164,1,الخرج,Al Kharj,الخرج,True,False,True,
165,1,شقراء,Shaqra',شقراء,True,False,True,
166,1,مرات,Marat,مرات,True,False,True,
167,1,حريملاء,Huraymila,حريملاء,True,False,True,
168,1,الزلفي,Az Zulfi,الزلفي,True,False,True,
169,1,حوطة بني تميم,Hawtat Bani Tamim,حوطه بني تميم,True,False,True,
170,1,المزاحمية,Al Muzahimiyah,المزاحميه,True,False,True,
171,1,السليل,As Sulayyil,السليل,True,False,True,
172,1,الأفلاج,Alaflaaj,الافلاج,True,False,True,
173,1,رماح,Rumah,رماح,True,False,True,
174,1,عفيف,Afif,عفيف,True,False,True,
175,1,وادي الدواسر,Wadi Ad Dawasir,وادي الدواسر,True,False,True,
176,1,الحريق,Al Hariq,الحريق,True,False,True,
178,1,ضرما,Duruma,ضرما,True,False,True,
179,1,الغاط,Al Ghat,الغاط,True,False,True,
177,1,ساجر,Sager,ساجر,False,False,True,
180,1,عرقة,'Irqah,عرقه,False,False,True,
181,1,الحائر,Al Hair,الحاير,False,False,True,
182,1,الرين,Ar Rayn,الرين,False,False,True,
212,1,تمير,Tumair,تمير,False,False,True,
213,1,الدلم,Ad Dilam,الدلم,False,False,True,
214,1,مركز العيينة والجبيلة,Aloyynah,العيينه والجبيله,False,False,True,
222,1,مركز بريد الحلوة,Helwa,بريد الحلوه,False,False,True,
226,1,مركز تبراك والجله,Tebrak And El Jula Center,تبراك والجله,False,False,True,
228,1,جلاجل,Jalajil,جلاجل,False,False,True,
229,1,مركز جنوبية سدير,Janoubiyat Sodeir,جنوبيه سدير,False,False,True,
230,1,روضة سدير,Rawdhat Sudair,روضه سدير,False,False,True,
231,1,الارطاوية,Al Artawiyah,الارطاويه,False,False,True,
232,1,حوطة سدير,Hawtat Sudair,حوطه سدير,False,False,True,
234,1,مركز خيران السليل,Khairan Al Soleil,خيران السليل,False,False,True,
235,1,مركز تمره السليل,Tamrat Al Soleil,تمره السليل,False,False,True,
236,1,النويعمة,An Nuway'Mah,النويعمه,False,False,True,
237,1,مركز الفيضة ساجر,Alfaidat Sager,الفيضه ساجر,False,False,True,
327,1,البجادية,Al Bijadiyah,البجاديه,False,False,True,
344,1,الحزم,Al Hazim,الحزم,False,False,True,
348,1,الهياثم,Al Hayathim,الهياثم,False,False,True,
349,1,نعجان,Na'Jan,نعجان,False,False,True,
372,1,ملهم,Malham,ملهم,False,False,True,
373,1,ليلى,Layla,ليلي,False,False,True,
380,1,المفيجر,Almufaijir,المفيجر,False,False,True,
381,1,نعام,An Naam,نعام,False,False,True,
382,1,القصب,Al Qasab,القصب,False,False,True,
386,1,حرمة,Harmah,حرمه,False,False,True,
387,1,التويم,At Tuwaym,التويم,False,False,True,
388,1,عودة سدير,Awdat Sudayr,عوده سدير,False,False,True,
389,1,عشيرة سدير,Asharat Sudair,عشيره سدير,False,False,True,
390,1,الخطامة,Al Khutamah,الخطامه,False,False,True,
391,1,مبايض,Mubayid,مبايض,False,False,True,
392,1,الشعب,Ash Shib,الشعب,False,False,True,
413,1,القرائن,Al Qarain,القراين,False,False,True,
487,1,جرير,Jarir,جرير,False,False,True,
488,1,الفائزية,Al Faiziyah,الفايزيه,False,False,True,
489,1,المصارير,Al Masarir,المصارير,False,False,True,
491,1,ابرق النعام,Abraq An Na 'Am,ابرق النعام,False,False,True,
492,1,كمدة,Kamdah,كمده,False,False,True,
493,1,الفاو,Al Faw,الفاو,False,False,True,
494,1,حرجة الزفر,Hirjat Az Zufur,حرجه الزفر,False,False,True,
495,1,حجلة السواد,Hajlat As Suwad,حجله السواد,False,False,True,
496,1,الكواكب,Al Kawakib,الكواكب,False,False,True,
497,1,الدلعبي,Ad Dhala'Aby,الدلعبي,False,False,True,
498,1,بني لبيب,Bani Labib,بني لبيب,False,False,True,
499,1,خشم البازوم,Khashm Al Bazum,خشم البازوم,False,False,True,
500,1,خيران,Khayran,خيران,False,False,True,
501,1,تمرة,Tamrah,تمره,False,False,True,
502,1,حمام,Himam,حمام,False,False,True,
503,1,ريدا,Rayda,ريدا,False,False,True,
762,1,الوسيعة,Al Wasi'Ah,الوسيعه,False,False,True,
763,1,تمرية,Tamriyah,تمريه,False,False,True,
764,1,ابو خسيفاء,Abu Khusayfa,ابو خسيفاء,False,False,True,
765,1,النخيل,An Nakhil,النخيل,False,False,True,
766,1,السحيمي,As Suhaymi,السحيمي,False,False,True,
769,1,التنهاة,At Tanhah,التنهاه,False,False,True,
770,1,قري التويم,Qiri At Tuwaym,قري التويم,False,False,True,
771,1,الشحمة,Ash Shahmah,الشحمه,False,False,True,
773,1,جوي,Juwayy,جوي,False,False,True,
774,1,مقبلة,Muqbilah,مقبله,False,False,True,
775,1,جراب,Jirab,جراب,False,False,True,
777,1,النغيق,An Nughayq,النغيق,False,False,True,
778,1,حويمضة,Huwaimidah,حويمضه,False,False,True,
779,1,البتيراء,Al Butaira',البتيراء,False,False,True,
781,1,الفروثي,Al Furuthi,الفروثي,False,False,True,
782,1,الدخيلة,Ad Dakhilah,الدخيله,False,False,True,
783,1,الحصون,Al Husun,الحصون,False,False,True,
785,1,العمار,Al 'Amar,العمار,False,False,True,
787,1,المعشبة,Al Ma'Ashbah,المعشبه,False,False,True,
789,1,الجنيفي,Al Junayfi,الجنيفي,False,False,True,
790,1,العطار,Al 'Attar,العطار,False,False,True,
791,1,ام الجماجم,Umm Al Jamajim,ام الجماجم,False,False,True,
792,1,مشلح,Mishlah,مشلح,False,False,True,
793,1,ام رجوم,Umm Rujum,ام رجوم,False,False,True,
794,1,الرويضة,Ar Ruwaidah,الرويضه,False,False,True,
796,1,بوضاء,Bawda',بوضاء,False,False,True,
798,1,وشي,Wushayy,وشي,False,False,True,
