id,code,admin_area_id,name_ar,capital_ar,cities_count,governorates_count,is_active
1,RD,1,منطقة الرياض,الرياض,567,21,True
2,MK,3,منطقة مكة المكرمة,مكة المكرمة,287,17,True
3,MD,8,منطقة المدينة المنورة,المدينة المنورة,286,9,True
4,QS,9,منطقة القصيم,بريدة,186,14,True
5,EP,2,المنطقة الشرقية,الدمام,228,13,True
6,AS,10,منطقة عسير,أبها,623,18,True
7,TB,11,منطقة تبوك,تبوك,131,7,True
8,HL,12,منطقة حائل,حائل,275,9,True
9,NB,13,منطقة الحدود الشمالية,عرعر,35,4,True
10,JZ,14,منطقة جازان,جازان,243,18,True
11,NJ,15,منطقة نجران,نجران,55,8,True
12,BH,16,منطقة الباحة,الباحة,121,9,True
13,JF,17,منطقة الجوف,سكاكا,40,4,True
